event_id,event_title,market_question,outcomes,prices,volume,liquidity,clob_token_ids,end_date,closed,won
968087,Lowest temperature in London on September 7?,Will the lowest temperature in London be 22°C on September 7?,"[""Yes"", ""No""]","[""0"", ""1""]",90.88,0,"[""2902102134638985348923204814723354806655682563121484044858775342306004435814"", ""42335856693168927264878632413101141757558711069306799250265503900311750588122""]",2026-09-07T12:00:00Z,True,False
968087,Lowest temperature in London on September 7?,Will the lowest temperature in London be 23°C or higher on September 7?,"[""Yes"", ""No""]","[""0"", ""1""]",499.061099,0,"[""112696622473712078642654281884864760533142991046650404496612375641933415335218"", ""92071295244302293456943491013218988781585127584291325230670237462667168576063""]",2026-09-07T12:00:00Z,True,False
973992,Highest temperature in London on September 8?,Will the highest temperature in London be 16°C or below on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",17822.334255,,"[""30201322517208800226499149225565497765903692593427065890489726216988319347408"", ""114888694564481950783446747292590782924737574253418271188980236230296418791102""]",2026-09-08T12:00:00Z,True,False
973992,Highest temperature in London on September 8?,Will the highest temperature in London be 17°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",22373.670667,,"[""40303124429150004938583809650154786568840748841830825437377210145690689363062"", ""42264683489554723656281734206522217209587940825785697636175026630871607516963""]",2026-09-08T12:00:00Z,True,False
973992,Highest temperature in London on September 8?,Will the highest temperature in London be 18°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",37343.443243,,"[""43416558890728074092477698996657224232307349798412350621497868394286060457203"", ""39356745465145039709083814786634426556244199875425104478120082155583012636340""]",2026-09-08T12:00:00Z,True,False
973992,Highest temperature in London on September 8?,Will the highest temperature in London be 19°C on September 8?,"[""Yes"", ""No""]","[""1"", ""0""]",33982.78281700001,,"[""4825855395547449723676070339940834080958015262120033653066150864990743050006"", ""103308112555384592216342428403353834693948145557284952161522035527750628931764""]",2026-09-08T12:00:00Z,True,True
973992,Highest temperature in London on September 8?,Will the highest temperature in London be 20°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",23854.363621000004,,"[""52224387619510359223236475438322375126490849090608791461539259917409614456253"", ""81220469266346230621592553125864691550269566132919558393829899041464732598814""]",2026-09-08T12:00:00Z,True,False
973992,Highest temperature in London on September 8?,Will the highest temperature in London be 21°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",12054.915689,,"[""90137295093718848813116987741990249438608900025027925851504740074680825913086"", ""113988474454303638182498024308735000867549169041618778882996518176850819695105""]",2026-09-08T12:00:00Z,True,False
973992,Highest temperature in London on September 8?,Will the highest temperature in London be 22°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",10750.262601000002,,"[""89208100040038230385219770897584659712253621743224813939598484427501072242503"", ""59623826903872560897440483410167301834190146934453792675433817181907181801888""]",2026-09-08T12:00:00Z,True,False
973992,Highest temperature in London on September 8?,Will the highest temperature in London be 23°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",2752.4929,,"[""25346590173440296957799321514663602286016358652867275718214575169648279817223"", ""89458213348468670782192144646979997360511461517587521035116565632966804265915""]",2026-09-08T12:00:00Z,True,False
973992,Highest temperature in London on September 8?,Will the highest temperature in London be 24°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",958.7129419999999,0,"[""102571862584837683325692848255507297409800002924158370368053590071948208355906"", ""12485496493835214698170324714715951326541753437040583685555598320048300494521""]",2026-09-08T12:00:00Z,True,False
973992,Highest temperature in London on September 8?,Will the highest temperature in London be 25°C on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",1072.47,0,"[""110813040627269012158485331597991126806810367006988587318800124245680239041712"", ""56427654443380902825522409241125503996165048892143302779454546765702044526052""]",2026-09-08T12:00:00Z,True,False
973992,Highest temperature in London on September 8?,Will the highest temperature in London be 26°C or higher on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",4763.63257,0,"[""37800697842203180580006743809829500958894466073133239207555190384312711020070"", ""68553273695257937769203643858639605669837519080961558868318984492000346394361""]",2026-09-08T12:00:00Z,True,False
973859,Lowest temperature in London on September 8?,Will the lowest temperature in London be 11°C or below on September 8?,"[""Yes"", ""No""]","[""0"", ""1""]",266.832,,"[""94261476392193221533061749492144747369951415653831046103140254736879509270004"", ""55794253587677784193195664241021269413400761236035440545084057959153212957895""]",2026-09-08T12:00:00Z,True,False
